kb8_s67167	Protein disulfide-isomerase OS=Oryctolagus cuniculus OX=9986 GN=P4HB PE=2 SV=1 E(blastx)=4e-09
kb8_rep_c18985	Dynein heavy chain 8, axonemal OS=Mus musculus OX=10090 GN=Dnah8 PE=1 SV=2 E(blastx)=6e-114
kb8_rep_c55473	Adenine/guanine permease AZG1 OS=Arabidopsis thaliana OX=3702 GN=AZG1 PE=2 SV=1 E(blastx)=3e-23
kb8_c25990	Dynein-1-alpha heavy chain, flagellar inner arm I1 complex OS=Chlamydomonas reinhardtii OX=3055 GN=DHC1 PE=1 SV=1 E(blastx)=3e-89
kb8_rep_c1376	Potassium voltage-gated channel subfamily H member 7 OS=Homo sapiens OX=9606 GN=KCNH7 PE=1 SV=2 E(blastx)=8e-08
kb8_rep_c48775	Probable protein phosphatase 2C 12 OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0224100 PE=2 SV=1 E(blastx)=1e-06
kb8_s64499	Hybrid PKS-NRPS synthetase 1 OS=Dothistroma septosporum (strain NZE10 / CBS 128990) OX=675120 GN=hps1 PE=2 SV=1 E(blastx)=4e-08
kb8_c35677	RasGEF domain-containing serine/threonine-protein kinase X OS=Dictyostelium discoideum OX=44689 GN=gefX PE=2 SV=1 E(blastx)=1e-24
kb8_rep_c14360	Membrane-bound O-acyltransferase GUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GUP1 PE=1 SV=1 E(blastx)=4e-30
kb8_c32624	Mitochondrial substrate carrier family protein S OS=Dictyostelium discoideum OX=44689 GN=mcfS PE=3 SV=1 E(blastx)=2e-26
kb8_rep_c490	Putative cullin-like protein 1 OS=Arabidopsis thaliana OX=3702 GN=At1g43140 PE=3 SV=1 E(blastx)=2e-175
kb8_s51990	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A OS=Rattus norvegicus OX=10116 GN=Pde9a PE=1 SV=1 E(blastx)=4e-16
kb8_c30515	Geranylgeranyl transferase type-2 subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BET2 PE=1 SV=3 E(blastx)=6e-07
kb8_c13953	2Fe-2S ferredoxin OS=Rickettsia conorii (strain ATCC VR-613 / Malish 7) OX=272944 GN=fdxB PE=3 SV=1 E(blastx)=6e-32
kb8_c14886	Exo-beta-1,3-glucanase OS=Streptomyces sp. (strain SirexAA-E / ActE) OX=862751 GN=SACTE_4363 PE=1 SV=1 E(blastx)=1e-23
kb8_s56566	Serine/threonine-protein phosphatase PP-X isozyme 2 OS=Arabidopsis thaliana OX=3702 GN=PPX2 PE=2 SV=2 E(blastx)=4e-90
kb8_s69809	tRNA pseudouridine synthase A 1 OS=Desulfotalea psychrophila (strain LSv54 / DSM 12343) OX=177439 GN=truA1 PE=3 SV=1 E(blastx)=6e-13
kb8_rep_c55591	Sodium-driven chloride bicarbonate exchanger OS=Rattus norvegicus OX=10116 GN=Slc4a10 PE=1 SV=1 E(blastx)=3e-35
kb8_s71362	Cytochrome b559 subunit alpha OS=Euglena gracilis OX=3039 GN=psbE PE=3 SV=3 E(blastx)=6e-06
kb8_s54928	Protein kinase 2 OS=Dictyostelium discoideum OX=44689 GN=pkgB PE=1 SV=2 E(blastx)=3e-59
kb8_s55231	Ribosomal RNA large subunit methyltransferase Cfr OS=Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) OX=357809 GN=cfr PE=3 SV=1 E(blastx)=2e-18
kb8_rep_c10448	Peptidyl-prolyl cis-trans isomerase FKBP62 OS=Arabidopsis thaliana OX=3702 GN=FKBP62 PE=1 SV=2 E(blastx)=5e-58
kb8_rep_c2913	Small glutamine-rich tetratricopeptide repeat-containing protein beta OS=Mus musculus OX=10090 GN=Sgtb PE=1 SV=1 E(blastx)=5e-10
kb8_c31729	Tubulin glycylase 3D OS=Tetrahymena thermophila (strain SB210) OX=312017 GN=TTLL3D PE=3 SV=2 E(blastx)=8e-20
kb8_rep_c2819	3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1 E(blastx)=8e-153
kb8_c22705	Vacuolar protein sorting-associated protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=vps1 PE=3 SV=2 E(blastx)=7e-107
kb8_rep_c53202	Cytochrome b-245 heavy chain OS=Homo sapiens OX=9606 GN=CYBB PE=1 SV=2 E(blastx)=2e-09
kb8_c39704	Polyamine aminopropyltransferase OS=Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) OX=69014 GN=speE PE=1 SV=1 E(blastx)=2e-09
kb8_s62425	Centrosomal protein of 131 kDa OS=Danio rerio OX=7955 GN=cep131 PE=1 SV=1 E(blastx)=4e-15
kb8_s57588	Probable calcium-binding protein CML15 OS=Arabidopsis thaliana OX=3702 GN=CML15 PE=2 SV=1 E(blastx)=8e-07
kb8_rep_c56200	Acyl-CoA dehydrogenase apdG OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=apdG PE=2 SV=1 E(blastx)=3e-28
kb8_rep_c29141	mRNA cap guanine-N7 methyltransferase OS=Mus musculus OX=10090 GN=Rnmt PE=1 SV=1 E(blastx)=6e-19
kb8_c38765	Esterase OVCA2 OS=Mus musculus OX=10090 GN=Ovca2 PE=1 SV=1 E(blastx)=1e-05
kb8_c14747	External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial OS=Solanum tuberosum OX=4113 GN=NDB1 PE=3 SV=1 E(blastx)=1e-50
kb8_c10953	Actin-fragmin kinase OS=Physarum polycephalum OX=5791 PE=1 SV=2 E(blastx)=5e-06
kb8_c14443	Probable glycosidase C21B10.07 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC21B10.07 PE=3 SV=1 E(blastx)=5e-28
kb8_rep_c29730	Luminal-binding protein 3 (Fragment) OS=Nicotiana tabacum OX=4097 GN=BIP3 PE=2 SV=1 E(blastx)=2e-18
kb8_rep_c63099	Probable ammonia channel OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=amt PE=3 SV=1 E(blastx)=1e-21
kb8_c26261	Matrix metalloproteinase-9 OS=Mus musculus OX=10090 GN=Mmp9 PE=1 SV=2 E(blastx)=3e-05
kb8_rep_c19246	Serine/threonine-protein phosphatase 4 regulatory subunit 3 OS=Danio rerio OX=7955 GN=smek1 PE=1 SV=1 E(blastx)=2e-55
kb8_s57203	Proteasome subunit alpha type-7 OS=Dictyostelium discoideum OX=44689 GN=psmA7 PE=3 SV=1 E(blastx)=3e-56
kb8_c18009	Caltractin ICL1e OS=Paramecium tetraurelia OX=5888 GN=Icl1e PE=3 SV=1 E(blastx)=7e-71
kb8_rep_c38641	Formin-like protein 6 OS=Oryza sativa subsp. japonica OX=39947 GN=FH6 PE=2 SV=2 E(blastx)=2e-14
kb8_c11529	Kelch domain-containing protein 10 OS=Rattus norvegicus OX=10116 GN=Klhdc10 PE=2 SV=1 E(blastx)=4e-30
kb8_rep_c3304	KDEL-tailed cysteine endopeptidase CEP1 OS=Arabidopsis thaliana OX=3702 GN=CEP1 PE=1 SV=1 E(blastx)=2e-34
kb8_rep_c3809	Mitochondrial chaperone BCS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=BCS1 PE=1 SV=2 E(blastx)=3e-42
kb8_c32774	Cell division control protein 48 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC48 PE=1 SV=3 E(blastx)=5e-25
kb8_rep_c4214	Sodium channel protein 60E OS=Drosophila melanogaster OX=7227 GN=NaCP60E PE=2 SV=6 E(blastx)=4e-11
kb8_rep_c63491	Probable protein phosphatase 2C 22 OS=Arabidopsis thaliana OX=3702 GN=At2g25620 PE=1 SV=1 E(blastx)=1e-07
kb8_rep_c24451	Cilia- and flagella-associated protein 45 OS=Homo sapiens OX=9606 GN=CFAP45 PE=1 SV=2 E(blastx)=2e-10
kb8_c10854	Protein mini spindles OS=Drosophila melanogaster OX=7227 GN=msps PE=1 SV=3 E(blastx)=1e-11
kb8_rep_c3337	Phosphatidylinositol 4-phosphate 5-kinase 9 OS=Arabidopsis thaliana OX=3702 GN=PIP5K9 PE=1 SV=2 E(blastx)=2e-28
kb8_rep_c15550	Dihydroorotate dehydrogenase (fumarate) OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=URA1 PE=3 SV=1 E(blastx)=2e-76
kb8_rep_c49900	UDP-galactose/UDP-glucose transporter 5 OS=Arabidopsis thaliana OX=3702 GN=UTR5 PE=2 SV=1 E(blastx)=3e-10
kb8_c21721	CSC1-like protein ERD4 OS=Arabidopsis thaliana OX=3702 GN=ERD4 PE=1 SV=1 E(blastx)=2e-08
kb8_rep_c335	V-type proton ATPase 16 kDa proteolipid subunit OS=Chrysotila carterae OX=13221 GN=VAP PE=2 SV=1 E(blastx)=4e-60
kb8_rep_c1371	2-acylglycerol O-acyltransferase 2-A OS=Xenopus laevis OX=8355 GN=mogat2-a PE=2 SV=1 E(blastx)=9e-19
kb8_s66871	Dinoflagellate viral nucleoprotein 5 OS=Hematodinium sp. OX=173654 PE=1 SV=1 E(blastx)=1e-13
kb8_rep_c15456	Alkylated DNA repair protein ALKBH8 homolog OS=Arabidopsis thaliana OX=3702 GN=ALKBH8 PE=2 SV=2 E(blastx)=2e-19
kb8_rep_c2882	Nicotinamidase OS=Escherichia coli (strain K12) OX=83333 GN=pncA PE=1 SV=1 E(blastx)=4e-17
kb8_rep_c1965	Very-long-chain aldehyde decarbonylase GL1-10 OS=Oryza sativa subsp. japonica OX=39947 GN=GL1-10 PE=2 SV=1 E(blastx)=8e-08
kb8_s67289	Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Mus musculus OX=10090 GN=Scube3 PE=1 SV=1 E(blastx)=9e-06
kb8_rep_c3393	Calcineurin subunit B OS=Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65) OX=284593 GN=CNB1 PE=3 SV=1 E(blastx)=7e-06
kb8_rep_c28084	Probable ADP-ribosylation factor GTPase-activating protein AGD8 OS=Arabidopsis thaliana OX=3702 GN=AGD8 PE=1 SV=1 E(blastx)=9e-26
kb8_rep_c4632	3-ketoacyl-CoA synthase 9 OS=Arabidopsis thaliana OX=3702 GN=KCS9 PE=2 SV=1 E(blastx)=4e-121
kb8_s52885	Probable protein phosphatase 2C 22 OS=Arabidopsis thaliana OX=3702 GN=At2g25620 PE=1 SV=1 E(blastx)=7e-08
kb8_rep_c173	Testis-specific serine/threonine-protein kinase 5 OS=Mus musculus OX=10090 GN=Tssk5 PE=2 SV=2 E(blastx)=5e-18
kb8_c39541	Katanin p80 WD40 repeat-containing subunit B1 OS=Xenopus laevis OX=8355 GN=katnb1 PE=1 SV=1 E(blastx)=3e-19
kb8_c27518	Anti-sigma-I factor RsgI3 OS=Hungateiclostridium thermocellum (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) OX=203119 GN=rsgI3 PE=1 SV=1 E(blastx)=2e-07
kb8_c46282	Adhesion G protein-coupled receptor B2 OS=Mus musculus OX=10090 GN=Adgrb2 PE=1 SV=2 E(blastx)=8e-06
kb8_rep_c23707	High affinity nitrate transporter 2.5 OS=Arabidopsis thaliana OX=3702 GN=NRT2.5 PE=1 SV=1 E(blastx)=1e-41
kb8_c33226	Presequence protease 2, chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PREP2 PE=1 SV=1 E(blastx)=5e-08
kb8_rep_c60918	RAP domain-containing protein, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=RAP PE=1 SV=1 E(blastx)=1e-11
kb8_rep_c15962	Probable glycosidase C21B10.07 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC21B10.07 PE=3 SV=1 E(blastx)=1e-61
kb8_c26257	1,3-beta-glucan synthase component GSC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GSC2 PE=1 SV=2 E(blastx)=5e-65
kb8_s65862	Chaperone protein DnaJ OS=Chlorobaculum parvum (strain NCIB 8327) OX=517417 GN=dnaJ PE=3 SV=1 E(blastx)=5e-10
kb8_c39019	Ankyrin repeat and protein kinase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ANKK1 PE=1 SV=1 E(blastx)=4e-11
kb8_c7216	Mitogen-activated protein kinase 4a OS=Physcomitrium patens OX=3218 GN=MPK4a PE=1 SV=1 E(blastx)=9e-55
kb8_rep_c4098	Amino acid transporter AVT1F OS=Arabidopsis thaliana OX=3702 GN=AVT1F PE=3 SV=1 E(blastx)=2e-06
kb8_rep_c47971	Calcium-dependent protein kinase 12 OS=Oryza sativa subsp. japonica OX=39947 GN=CPK12 PE=2 SV=2 E(blastx)=3e-05
kb8_rep_c20555	MEMO1 family protein Msm_1438 OS=Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS) OX=420247 GN=Msm_1438 PE=3 SV=1 E(blastx)=1e-34
kb8_c9954	Subtilisin-like protease 1 OS=Plasmodium falciparum OX=5833 GN=SUB1 PE=1 SV=1 E(blastx)=2e-30
kb8_c39658	Adhesion G protein-coupled receptor B3 OS=Homo sapiens OX=9606 GN=ADGRB3 PE=1 SV=2 E(blastx)=5e-10
kb8_s57264	Caltractin OS=Scherffelia dubia OX=3190 PE=1 SV=1 E(blastx)=9e-09
kb8_c45079	Periodic tryptophan protein 2 homolog OS=Caenorhabditis elegans OX=6239 GN=F55F8.3 PE=3 SV=2 E(blastx)=4e-06
kb8_s60427	Probable isoprenylcysteine alpha-carbonyl methylesterase ICME OS=Oryza sativa subsp. japonica OX=39947 GN=IMCE PE=2 SV=1 E(blastx)=6e-19
kb8_c55041	Guanine/hypoxanthine permease PbuG OS=Bacillus subtilis (strain 168) OX=224308 GN=pbuG PE=1 SV=1 E(blastx)=2e-41
kb8_rep_c4332	Ubiquitin-conjugating enzyme E2 2 OS=Triticum aestivum OX=4565 GN=UBC2 PE=1 SV=1 E(blastx)=7e-10
kb8_rep_c21045	RanBP2-type zinc finger protein At1g67325 OS=Arabidopsis thaliana OX=3702 GN=At1g67325 PE=1 SV=1 E(blastx)=3e-05
kb8_rep_c2860	Putative glutamine amidotransferase GAT1_2.1 OS=Arabidopsis thaliana OX=3702 GN=GAT1_2.1 PE=2 SV=1 E(blastx)=8e-70
kb8_c44771	NLR family CARD domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NLRC3 PE=1 SV=2 E(blastx)=3e-08
kb8_s70471	Fructose-bisphosphate aldolase B OS=Danio rerio OX=7955 GN=aldob PE=2 SV=1 E(blastx)=3e-20
kb8_c37929	Testis-expressed protein 10 homolog OS=Gallus gallus OX=9031 GN=TEX10 PE=2 SV=1 E(blastx)=5e-12
kb8_rep_c57291	Fructose-bisphosphate aldolase OS=Campylobacter jejuni subsp. jejuni serotype O:23/36 (strain 81-176) OX=354242 GN=fba PE=3 SV=1 E(blastx)=8e-32
kb8_c21297	Probable isoprenylcysteine alpha-carbonyl methylesterase ICME OS=Oryza sativa subsp. japonica OX=39947 GN=IMCE PE=2 SV=1 E(blastx)=3e-08
kb8_rep_c5212	Vacuolar protein sorting-associated protein 45 OS=Rattus norvegicus OX=10116 GN=Vps45 PE=1 SV=1 E(blastx)=1e-147
kb8_c15810	Hsp70-Hsp90 organizing protein 3 OS=Arabidopsis thaliana OX=3702 GN=HOP3 PE=2 SV=1 E(blastx)=1e-11
kb8_c8254	Inosine-5'-monophosphate dehydrogenase OS=Toxoplasma gondii OX=5811 PE=1 SV=1 E(blastx)=4e-102
kb8_c34033	Heavy metal-associated isoprenylated plant protein 41 OS=Arabidopsis thaliana OX=3702 GN=HIPP41 PE=3 SV=1 E(blastx)=2e-07
kb8_rep_c53068	Ferredoxin OS=Peridinium bipes OX=2868 PE=1 SV=1 E(blastx)=8e-42
kb8_c33806	RING finger protein 122 OS=Homo sapiens OX=9606 GN=RNF122 PE=1 SV=2 E(blastx)=8e-07
kb8_rep_c2769	ATP synthase subunit delta, mitochondrial OS=Dictyostelium discoideum OX=44689 GN=atp5f1d PE=3 SV=1 E(blastx)=3e-14
kb8_c22037	Adenylate-forming reductase Nps10 OS=Heterobasidion annosum OX=13563 GN=nps10 PE=2 SV=1 E(blastx)=5e-05
kb8_c30982	Probable chitinase 2 OS=Drosophila melanogaster OX=7227 GN=Cht2 PE=1 SV=1 E(blastx)=4e-15
kb8_c39733	Cortactin-binding protein 2 OS=Dasypus novemcinctus OX=9361 GN=CTTNBP2 PE=3 SV=1 E(blastx)=3e-09
kb8_s63455	Probable ubiquitin-conjugating enzyme E2 W OS=Dictyostelium discoideum OX=44689 GN=ube2w PE=3 SV=1 E(blastx)=9e-26
kb8_rep_c7745	Lateral signaling target protein 2 homolog OS=Drosophila sechellia OX=7238 GN=GM10129 PE=3 SV=1 E(blastx)=2e-09
kb8_rep_c27046	Cholesterol 7-desaturase nvd OS=Xenopus laevis OX=8355 GN=nvd PE=1 SV=1 E(blastx)=2e-06
kb8_c7171	Alanine aminotransferase 2 OS=Homo sapiens OX=9606 GN=GPT2 PE=1 SV=1 E(blastx)=6e-76
kb8_c20651	Bifunctional lysine-specific demethylase and histidyl-hydroxylase NO66 OS=Drosophila mojavensis OX=7230 GN=GI16410 PE=3 SV=1 E(blastx)=8e-06
kb8_rep_c21366	High affinity nitrate transporter 2.5 OS=Arabidopsis thaliana OX=3702 GN=NRT2.5 PE=1 SV=1 E(blastx)=1e-33
kb8_s57226	Uroporphyrinogen-III synthase, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=UROS PE=2 SV=2 E(blastx)=1e-09
kb8_c19642	Alpha-galactosidase AgaA OS=Geobacillus stearothermophilus OX=1422 GN=agaA PE=1 SV=1 E(blastx)=2e-59
kb8_s63128	Probable global transcription activator SNF2L1 OS=Mus musculus OX=10090 GN=Smarca1 PE=1 SV=1 E(blastx)=5e-14
kb8_rep_c45299	Probable endo-1,3(4)-beta-glucanase NFIA_089530 OS=Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) OX=331117 GN=NFIA_089530 PE=3 SV=1 E(blastx)=1e-14
kb8_c14398	Choline transporter-like 2 OS=Anopheles gambiae OX=7165 GN=Ctl2 PE=3 SV=4 E(blastx)=3e-08
kb8_c21233	Chaperone protein DnaJ OS=Haemophilus parasuis serovar 5 (strain SH0165) OX=557723 GN=dnaJ PE=3 SV=1 E(blastx)=2e-05
kb8_s63480	Peridinin-chlorophyll a-binding protein 1, chloroplastic OS=Amphidinium carterae OX=2961 PE=1 SV=1 E(blastx)=1e-08
kb8_rep_c12233	Calretinin OS=Gallus gallus OX=9031 GN=CALB2 PE=2 SV=3 E(blastx)=6e-05
kb8_rep_c26489	Serine/threonine-protein phosphatase 6 regulatory subunit 2 OS=Mus musculus OX=10090 GN=Ppp6r2 PE=1 SV=1 E(blastx)=5e-15
kb8_c15702	ABC1 family protein C21C3.03, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC21C3.03 PE=3 SV=2 E(blastx)=1e-60
kb8_rep_c8243	Probable transcriptional regulatory protein MCA1220 OS=Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath) OX=243233 GN=MCA1220 PE=3 SV=1 E(blastx)=5e-37
kb8_c5535	50S ribosomal subunit assembly factor BipA OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806 GN=bipA PE=3 SV=1 E(blastx)=1e-131
kb8_c58497	Photosystem I P700 chlorophyll a apoprotein A1 OS=Heterocapsa triquetra OX=66468 GN=psaA PE=3 SV=1 E(blastx)=2e-37
kb8_rep_c3043	Kelch-like protein 41a OS=Danio rerio OX=7955 GN=klhl41a PE=2 SV=1 E(blastx)=8e-10
kb8_rep_c10722	Sorcin OS=Schistosoma japonicum OX=6182 PE=2 SV=1 E(blastx)=7e-06
kb8_c44236	Pentatricopeptide repeat-containing protein At3g29290 OS=Arabidopsis thaliana OX=3702 GN=EMB2076 PE=2 SV=1 E(blastx)=9e-09
kb8_c34368	Zinc finger AN1 domain-containing stress-associated protein 17 OS=Oryza sativa subsp. japonica OX=39947 GN=SAP17 PE=2 SV=1 E(blastx)=5e-13
kb8_c5414	Probable ATP-dependent RNA helicase DDX60 OS=Homo sapiens OX=9606 GN=DDX60 PE=1 SV=3 E(blastx)=1e-125
kb8_c12339	MORN repeat-containing protein 5 OS=Danio rerio OX=7955 GN=morn5 PE=2 SV=1 E(blastx)=1e-43
kb8_c20598	Aflatoxin B1 aldehyde reductase member 2 OS=Mus musculus OX=10090 GN=Akr7a2 PE=1 SV=3 E(blastx)=1e-47
kb8_rep_c18559	Phosphoglycerate mutase-like protein 4 OS=Arabidopsis thaliana OX=3702 GN=At3g50520 PE=2 SV=1 E(blastx)=1e-14
kb8_c38146	Protein MFI OS=Homo sapiens OX=9606 GN=MFI PE=1 SV=1 E(blastx)=1e-27
kb8_c45723	Pentatricopeptide repeat-containing protein At2g41720 OS=Arabidopsis thaliana OX=3702 GN=EMB2654 PE=2 SV=1 E(blastx)=5e-07
kb8_c16435	Proline hydroxylase buaE OS=Aspergillus burnettii OX=2508778 GN=buaE PE=3 SV=1 E(blastx)=1e-22
kb8_c14862	Pentatricopeptide repeat-containing protein At2g41720 OS=Arabidopsis thaliana OX=3702 GN=EMB2654 PE=2 SV=1 E(blastx)=7e-25
kb8_rep_c3769	Splicing factor 45 OS=Mus musculus OX=10090 GN=Rbm17 PE=1 SV=1 E(blastx)=9e-43
kb8_s54350	Glutamine synthetase OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) OX=284592 GN=GLN1 PE=3 SV=1 E(blastx)=6e-06
kb8_rep_c51144	Probable monogalactosyldiacylglycerol synthase 2, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=MGD2 PE=2 SV=2 E(blastx)=4e-08
kb8_rep_c648	Metacaspase-1 OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=MCA1 PE=3 SV=1 E(blastx)=1e-33
kb8_rep_c52736	Ammonium transporter OS=Bacillus subtilis (strain 168) OX=224308 GN=nrgA PE=1 SV=1 E(blastx)=2e-60
kb8_rep_c1978	Probable malate:quinone oxidoreductase OS=Geobacillus sp. (strain WCH70) OX=471223 GN=mqo PE=3 SV=1 E(blastx)=4e-145
kb8_rep_c314	N-terminal acetyltransferase A complex catalytic subunit NAA10 OS=Arabidopsis thaliana OX=3702 GN=NAA10 PE=1 SV=1 E(blastx)=8e-77
kb8_rep_c14040	Cilia- and flagella-associated protein 36 OS=Xenopus tropicalis OX=8364 GN=cfap36 PE=2 SV=2 E(blastx)=2e-23
kb8_c43742	Transcription termination factor MTERF2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MTERF2 PE=3 SV=1 E(blastx)=3e-09
kb8_rep_c17145	Glyoxylate reductase OS=Thermofilum pendens (strain DSM 2475 / Hrk 5) OX=368408 GN=gyaR PE=3 SV=1 E(blastx)=7e-37
kb8_c18740	Nucleolar GTP-binding protein 2 OS=Mus musculus OX=10090 GN=Gnl2 PE=1 SV=2 E(blastx)=6e-132
kb8_rep_c1536	Peptidyl-prolyl cis-trans isomerase-like 2 OS=Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) OX=227321 GN=cyp8 PE=3 SV=1 E(blastx)=3e-84
kb8_s51256	Beta-glucosidase 11 OS=Oryza sativa subsp. japonica OX=39947 GN=BGLU11 PE=3 SV=2 E(blastx)=8e-14
kb8_c47636	Kinesin-like protein KIF1B OS=Rattus norvegicus OX=10116 GN=Kif1b PE=1 SV=2 E(blastx)=1e-70
kb8_c8495	Arogenate dehydrogenase 2, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TYRAAT2 PE=1 SV=1 E(blastx)=1e-72
kb8_s66561	Nitrate transporter 2.2 OS=Chlamydomonas reinhardtii OX=3055 GN=NRT2.2 PE=2 SV=2 E(blastx)=4e-15
kb8_c23224	Phosphatidylinositol 4-phosphate 5-kinase 8 OS=Arabidopsis thaliana OX=3702 GN=PIP5K8 PE=1 SV=1 E(blastx)=2e-26
kb8_rep_c17819	Death-associated protein kinase 3 OS=Homo sapiens OX=9606 GN=DAPK3 PE=1 SV=1 E(blastx)=4e-11
kb8_c25822	Broad substrate specificity ATP-binding cassette transporter ABCG2 OS=Mus musculus OX=10090 GN=Abcg2 PE=1 SV=1 E(blastx)=7e-10
kb8_c11545	30S ribosomal protein S18 OS=Bacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=rpsR PE=3 SV=1 E(blastx)=7e-09
kb8_rep_c1060	Ribose-phosphate pyrophosphokinase 3, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0723600 PE=2 SV=1 E(blastx)=4e-66
kb8_c17043	Pentatricopeptide repeat-containing protein At1g63080, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At1g63080 PE=2 SV=1 E(blastx)=4e-20
kb8_c26290	Apocarotenoid-15,15'-oxygenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1541 PE=1 SV=1 E(blastx)=2e-23
kb8_c25755	Arylsulfatase OS=Clostridium perfringens (strain 13 / Type A) OX=195102 GN=CPE0231 PE=3 SV=1 E(blastx)=2e-49
kb8_rep_c6717	Calcium-dependent protein kinase 2 OS=Plasmodium falciparum (isolate K1 / Thailand) OX=5839 GN=CPK2 PE=1 SV=3 E(blastx)=2e-76
kb8_c18830	Phosphatidylglycerophosphate phosphatase PTPMT2 OS=Arabidopsis thaliana OX=3702 GN=PTPMT2 PE=1 SV=1 E(blastx)=1e-25
kb8_c29972	Ribulose bisphosphate carboxylase, chloroplastic OS=Heterocapsa triquetra OX=66468 GN=rbcL PE=2 SV=1 E(blastx)=7e-08
kb8_c9030	Pentatricopeptide repeat-containing protein At1g62930, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g62930 PE=2 SV=2 E(blastx)=2e-32
kb8_c24600	Probable alpha-1,6-mannosyltransferase MNN10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MNN10 PE=1 SV=1 E(blastx)=7e-06
kb8_rep_c56816	Histolysain OS=Entamoeba histolytica OX=5759 GN=CPP2 PE=1 SV=1 E(blastx)=4e-08
kb8_c45633	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like OS=Homo sapiens OX=9606 GN=DUS1L PE=1 SV=1 E(blastx)=4e-09
kb8_c22444	Ultraviolet-B receptor UVR8 OS=Arabidopsis thaliana OX=3702 GN=UVR8 PE=1 SV=1 E(blastx)=2e-08
kb8_rep_c5815	ATP synthase mitochondrial F1 complex assembly factor 1 OS=Danio rerio OX=7955 GN=atpaf1 PE=2 SV=2 E(blastx)=2e-08
kb8_rep_c7338	Glycerophosphoinositol permease 1 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=GIT1 PE=1 SV=1 E(blastx)=2e-28
kb8_c26744	Kinesin-like protein KIN-14L OS=Arabidopsis thaliana OX=3702 GN=KIN14L PE=3 SV=2 E(blastx)=3e-18
